0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,#100
2.3215,6.7481,1.8535,1.4119,3.0098,0.19884,2.1967,0.56319,0.93215,0.14559,0.28479,0.71822,2.9185,2.1375,0.70931,0.546,0.36716,0.37794,0.50069,0.48962,1.9487,1.7545,1.4906,0.82706,1.4158,1.0476,1.062,0.49902,1.1582,2.1589,0.56608,0.55004,0.70766,0.67769,0.54432,0.15222,0.36313,0.38517,0.22135,0.39093,0.37958,0.41841,0.4739,0.3851,0.31523,0.74651,0.6138,0.28497,0.22211,0.20647,0.25773,0.069969,0.14874,0.22043,0.24158,0.27946,0.1079,0.2791,0.31188,0.22933,0.355,0.36977,0.25943,0.044022,0.11605,0.075204,0.063994,0.22258,0.33808,0.19541,0.065305,0.22839,0.12646,0.20717,0.20048,0.13785,0.13734,0.17988,0.083162,0.10625,0.1122,0.09951,0.056436,0.080869,0.069653,0.047773,0.13085,0.20048,0.015618,0.26423,0.21214,0.14185,0.19987,0.039361,0.067238,0.13564,0.10059,0.07547,0.11269,0.067639,0
1.3544,3.2252,2.7439,1.1469,3.1867,1.5159,1.5992,1.0648,0.76987,1.167,0.80102,0.61853,4.8004,1.7335,0.58154,0.60037,1.1141,0.36487,0.33151,1.4583,1.8373,0.40454,0.28548,0.98522,0.93952,2.0851,0.54792,0.60364,0.95322,1.6733,1.7475,1.1791,0.63211,1.3278,0.23114,0.50486,0.62919,0.22119,0.63477,0.089693,0.51088,0.10069,0.6985,0.89618,0.42432,1.4286,0.34578,0.2432,0.47236,0.25269,0.21728,0.3087,0.45794,0.30237,0.31956,0.26882,0.2919,0.12474,0.36948,0.47894,0.11921,0.32371,0.43648,0.13024,0.47974,0.25201,0.18285,0.13922,0.30427,0.49089,0.36649,0.16768,0.29892,0.2698,0.49634,0.67554,0.71035,0.17538,0.12375,0.028365,0.14601,0.17206,0.32898,0.2277,0.19766,0.079564,0.14055,0.15316,0.076022,0.17444,0.26697,0.13202,0.1647,0.14189,0.14658,0.20511,0.18076,0.13537,0.16666,0.1472,0
1.0866,4.6357,3.4356,3.2384,0.78721,2.8587,0.99134,1.7971,1.7653,5.4393,1.0648,0.75271,0.42005,0.23336,0.28613,0.68717,0.13396,0.31117,0.56457,0.19975,0.97128,1.5534,1.2113,1.1572,1.7611,0.90907,1.2199,1.004,1.1548,0.70305,0.49662,1.5083,0.6865,0.074054,0.16803,0.2392,0.35573,0.21025,0.25191,0.71528,0.29652,0.49422,0.39256,0.46249,0.61925,0.97552,0.41118,0.48785,0.44068,0.36229,0.077922,0.22446,0.18638,0.15454,0.26804,0.081384,0.20555,0.15693,0.37318,0.21009,0.15838,0.22525,0.068152,0.16274,0.21741,0.084096,0.42581,0.45342,0.20421,0.32877,0.69805,0.46138,0.41162,0.30924,0.22456,0.36613,0.21007,0.063263,0.37542,0.15365,0.18431,0.10734,0.14296,0.077433,0.055136,0.35149,0.10188,0.17521,0.11986,0.17242,0.21436,0.10013,0.1549,0.047474,0.091636,0.074787,0.10562,0.034975,0.063611,0.072658,0
3.1028,3.6621,1.549,2.5252,3.0275,1.9129,2.0245,3.0882,2.9626,0.43812,1.8451,1.234,0.9264,0.18665,0.38829,0.31644,0.19201,0.13548,0.45046,0.35872,1.627,2.3701,1.2424,2.9793,0.63438,0.31164,1.248,1.8173,1.1318,1.3417,0.72104,0.2201,1.772,1.0876,0.44788,0.5932,1.1764,0.5353,0.56948,0.40036,0.33734,0.65284,1.0132,0.75057,0.33301,0.6961,0.35551,0.14482,0.73202,0.4571,0.41723,0.45172,0.2911,0.081678,0.12671,0.27938,0.098643,0.32997,0.39895,0.59699,0.225,0.34359,0.40768,0.058775,0.42257,0.31166,0.19205,0.17317,0.14251,0.25804,0.34419,0.66783,0.14333,0.46543,0.29778,0.25452,0.15682,0.21288,0.47556,0.098171,0.034735,0.11068,0.24613,0.26842,0.14045,0.40626,0.15059,0.1981,0.0077767,0.088244,0.15628,0.039093,0.052961,0.036752,0.27293,0.019312,0.11319,0.04157,0.027395,0.021261,0
2.7729,1.9602,0.70208,4.2216,0.53888,3.5094,0.31985,0.80393,0.48461,0.50446,0.62819,0.33314,0.69566,4.5228,1.8788,0.82377,1.3427,1.8246,0.34439,0.60364,0.75809,0.87039,0.65946,0.83958,0.64145,0.42538,0.72788,0.45194,0.39019,0.54693,1.8514,0.53395,0.94023,1.0091,0.15356,0.24915,0.93114,1.26,0.11024,0.20611,0.2889,0.40102,0.42442,0.59265,0.48141,0.11983,0.48033,0.4712,0.10747,0.14652,0.072337,0.096637,0.19683,0.33943,0.093619,0.051272,0.0266,0.43408,0.29963,0.2491,0.10576,0.05963,0.23924,0.16932,0.27103,0.096993,0.32811,0.11344,0.38773,0.81924,0.27311,0.28698,0.20252,0.16053,0.20566,0.15135,0.19475,0.066858,0.034606,0.085453,0.06372,0.17831,0.097494,0.13227,0.070778,0.24957,0.19737,0.10695,0.14971,0.16097,0.10945,0.070976,0.0476,0.10928,0.020954,0.069734,0.079446,0.06402,0.055898,0.037073,0
8.1722,9.0779,2.0492,4.2853,1.1971,1.1927,1.9479,0.64509,0.534,0.67582,0.52247,0.83878,0.33422,0.74087,0.9569,0.40633,0.40518,0.4596,0.56352,0.43082,1.1954,0.325,0.48167,1.2173,0.75447,1.3047,0.35094,0.41659,1.0607,0.64805,3.0528,0.57875,0.9706,0.90955,0.37662,0.60821,0.94418,1.0555,0.26734,0.50578,0.27253,0.34043,0.4794,0.42548,0.73983,0.44656,0.58829,0.28382,0.27617,0.44865,0.19096,0.32085,0.25632,0.1447,0.38276,0.34046,0.087336,0.16138,0.14397,0.33821,0.10485,0.057463,0.13935,0.2017,0.30321,0.31516,0.89487,0.18761,0.265,0.74279,0.23185,0.46336,0.14459,0.056914,0.1548,0.24021,0.4625,0.46174,0.30089,0.17477,0.30757,0.25816,0.079314,0.15203,0.23791,0.31068,0.092278,0.33085,0.24121,0.11127,0.227,0.17598,0.025703,0.21693,0.071371,0.16718,0.097079,0.071317,0.064463,0.039478,0
0.20856,1.7601,3.2846,1.2874,2.5839,0.72993,1.0546,0.54699,0.85691,0.52006,0.50484,2.0512,0.78486,1.5154,0.17169,1.1194,0.61043,0.73421,1.0526,1.5071,1.1519,0.88368,1.3369,1.0927,0.33144,1.0136,1.4368,0.34431,1.1101,1.5219,0.79092,1.4724,1.2442,0.41401,1.156,0.79539,1.5448,1.5456,0.47489,1.9723,0.81352,0.98782,0.63569,0.31098,0.54033,0.2176,0.67148,0.099104,0.74249,0.41725,0.77001,0.6473,0.56238,0.17597,0.27545,0.42057,0.11741,0.24574,0.15917,0.23674,0.36829,0.37282,0.33739,0.49021,0.42996,0.70629,0.3413,0.34908,0.67513,0.14645,0.21432,0.17674,0.3207,0.43135,0.30583,0.43221,0.40467,0.087688,0.30052,0.46951,0.56807,0.34897,0.48276,0.54181,0.77907,0.31598,0.43407,0.14605,0.21264,0.51356,0.12135,0.30548,0.28157,0.336,0.23147,0.43663,0.18105,0.03575,0.11099,0.0916,0
2.0751,10.155,14.743,2.7128,5.7353,0.99816,0.75912,0.47643,1.4569,0.62562,0.66664,0.32672,0.45334,1.0724,0.31227,0.61754,1.5311,0.96446,0.35405,0.43386,0.15515,0.76252,0.2363,0.10471,0.46776,0.65519,0.68818,0.21288,0.90762,0.39333,0.77184,0.32097,0.21195,0.68166,0.063003,0.23028,0.8109,0.4283,0.35902,0.7099,0.77473,0.9118,0.61619,0.26271,0.3766,0.51208,0.40782,0.20594,0.17475,0.53026,0.87763,0.72357,0.65857,1.2545,1.2704,0.32951,0.28219,0.46822,0.27618,0.071389,0.46751,0.54058,0.10623,0.25194,0.054261,0.70037,0.42388,0.45242,0.48368,0.13055,0.086145,0.28395,0.13056,0.37152,0.5641,0.1565,0.34974,0.16965,0.083285,0.071322,0.25469,0.19839,0.23488,0.13751,0.10392,0.51933,0.15043,0.10763,0.022085,0.1799,0.10916,0.056245,0.047693,0.11675,0.097698,0.18766,0.10663,0.17069,0.043176,0.09491,0
4.6469,4.3497,3.7618,0.75737,1.5574,0.22389,1.7358,0.37982,0.49447,0.44238,0.69799,0.37511,0.38814,1.9244,1.1136,1.1607,0.85411,1.2408,0.7254,1.6077,2.9859,1.8112,1.8081,1.1308,1.2093,2.7589,2.2945,1.334,1.6923,1.6524,3.1573,2.2321,0.66719,0.39298,1.1282,0.76632,0.58041,0.97238,0.36878,0.054723,0.2907,0.16909,1.4587,0.99375,0.6072,0.33972,0.67307,0.22565,0.060974,0.45326,0.27561,0.44395,0.209,0.3212,0.15583,0.23917,0.56221,0.79923,0.15218,0.18891,0.18396,0.25628,0.34463,0.29056,0.35497,0.28937,0.023016,0.31582,0.33202,0.39051,0.1769,0.081304,0.17046,0.21622,0.17865,0.37736,0.078514,0.052465,0.39364,0.31846,0.47215,0.40483,0.16181,0.19991,0.060192,0.53768,0.30671,0.21695,0.20428,0.24489,0.21157,0.16145,0.28395,0.3567,0.12604,0.17815,0.062097,0.043107,0.13402,0.021065,0
2.1313,5.642,5.0462,2.9658,0.57771,1.2069,1.1787,1.5815,2.6922,1.0549,2.1371,1.2131,2.6163,1.2853,0.65926,0.27927,0.55362,0.33575,0.56773,0.15536,0.75606,0.35504,1.331,0.38806,3.5041,0.92615,0.59062,0.72866,1.3531,1.1408,1.1906,0.40138,0.24079,0.69164,0.16925,0.44986,0.46529,0.56725,0.16163,0.72974,0.68538,0.26675,0.44197,0.50261,0.26476,0.945,0.18748,0.42346,0.17557,0.076945,0.35771,0.11589,0.13463,0.023541,0.042757,0.16488,0.22861,0.14899,0.39926,0.42433,0.20168,0.10647,0.14743,0.10068,0.15467,0.10507,0.19932,0.21936,0.24925,0.30146,0.048203,0.095178,0.058821,0.15085,0.17594,0.12219,0.17055,0.14112,0.16672,0.092387,0.1828,0.11854,0.036644,0.1215,0.17064,0.24242,0.093397,0.17564,0.067119,0.12128,0.065845,0.056662,0.20747,0.088339,0.16517,0.10984,0.034896,0.065687,0.074559,0.025257,0
